                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8032,                 6.8041,                 3.6845,                      0,                      0,                      0,                      0,                 5.2462,                 10.339,                 3.6709,             0.00055122,             0.00055122,             0.00055122
                      2,                 3.5391,                 3.9484,                  2.599,                0.00012,                0.01049,                0.00013,                  3e-05,                 3.8613,                 7.6432,                 3.0074,              0.0010932,              0.0010932,              0.0010932
                      3,                 2.9529,                 3.6271,                 2.0936,                0.02204,                0.07191,                0.02085,                0.00892,                 2.5404,                 17.233,                 2.0963,              0.0016214,              0.0016214,              0.0016214
                      4,                 2.5438,                 3.4523,                 1.8799,                0.03692,                 0.2039,                0.02372,                0.00772,                 2.5477,                 10.836,                  2.079,              0.0016051,              0.0016051,              0.0016051
                      5,                 2.3395,                  3.023,                 1.7324,                0.01184,                0.46098,                0.02122,                0.00771,                 2.6592,                 4.7271,                 2.2833,              0.0016051,              0.0016051,              0.0016051
                      6,                 2.1475,                  2.908,                 1.6167,                0.07772,                0.22561,                0.05149,                0.02193,                   2.22,                 9.4173,                 1.8174,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.1001,                 2.9285,                 1.5806,                0.07117,                0.18159,                0.04053,                0.01616,                 2.2114,                 10.506,                 1.7802,              0.0015639,              0.0015639,              0.0015639
                      8,                 1.9367,                 2.8656,                 1.4277,                0.03052,                0.53472,                0.04344,                0.01847,                 2.1021,                 10.348,                 1.6896,              0.0015432,              0.0015432,              0.0015432
                      9,                 1.9236,                 2.7126,                  1.474,                0.07698,                 0.3492,                0.06116,                0.02769,                 1.9921,                 13.776,                 1.6429,              0.0015226,              0.0015226,              0.0015226
                     10,                   1.88,                 2.5991,                 1.4311,                0.09194,                0.13343,                 0.0613,                0.02931,                 1.7579,                 13.156,                 1.4816,               0.001502,               0.001502,               0.001502
                     11,                  1.823,                 4.2261,                   1.38,                 0.0923,                0.24131,                0.06908,                 0.0324,                 1.7546,                 11.503,                 1.4784,              0.0014813,              0.0014813,              0.0014813
                     12,                 1.7477,                 2.5224,                 1.3508,                0.05851,                  0.765,                0.08091,                0.04143,                 1.5981,                 6.9589,                 1.4007,              0.0014607,              0.0014607,              0.0014607
                     13,                 1.7558,                 2.4531,                 1.3551,                0.05755,                0.49553,                0.05631,                0.03039,                 1.6772,                 8.5139,                 1.4196,              0.0014401,              0.0014401,              0.0014401
                     14,                 1.6981,                 2.4806,                  1.325,                0.04668,                 0.7942,                0.05993,                0.03104,                 1.6069,                 9.8125,                 1.3967,              0.0014195,              0.0014195,              0.0014195
                     15,                 1.6709,                 4.6619,                 1.3156,                0.06659,                 0.6592,                0.07193,                0.04022,                 1.4966,                 12.405,                 1.3211,              0.0013988,              0.0013988,              0.0013988
                     16,                 1.6497,                 2.4772,                 1.3055,                0.06118,                0.86576,                0.08475,                0.04525,                 1.5229,                 9.5751,                 1.3397,              0.0013782,              0.0013782,              0.0013782
                     17,                 1.6239,                 2.4135,                 1.2945,                0.10734,                 0.3291,                0.09321,                0.05066,                 1.4671,                 13.459,                 1.2898,              0.0013576,              0.0013576,              0.0013576
                     18,                 1.6033,                 2.5122,                 1.2906,                0.09002,                0.33264,                0.08219,                0.04663,                 1.3852,                 11.376,                 1.2658,              0.0013369,              0.0013369,              0.0013369
                     19,                 1.5682,                  2.344,                 1.2672,                0.09834,                0.27095,                0.08503,                0.04909,                 1.4767,                 7.3863,                 1.3121,              0.0013163,              0.0013163,              0.0013163
                     20,                 1.5184,                 4.1887,                 1.2094,                 0.0581,                0.88254,                0.09162,                0.04896,                 1.4985,                 8.5245,                 1.3098,              0.0012957,              0.0012957,              0.0012957
                     21,                 1.5206,                   2.45,                 1.2643,                0.06693,                0.84922,                0.09241,                0.05441,                  1.368,                 8.9368,                 1.2533,               0.001275,               0.001275,               0.001275
                     22,                 1.4951,                 2.3119,                 1.2265,                0.08016,                0.50052,                0.08541,                0.05198,                 1.3097,                 10.184,                 1.2052,              0.0012544,              0.0012544,              0.0012544
                     23,                 1.5055,                  2.263,                 1.2325,                0.08485,                0.77332,                0.10103,                 0.0623,                 1.2801,                 13.721,                 1.1957,              0.0012338,              0.0012338,              0.0012338
                     24,                  1.453,                 7.0116,                 1.1879,                0.06144,                0.91312,                0.09511,                0.05824,                 1.2762,                 11.676,                 1.1963,              0.0012132,              0.0012132,              0.0012132
                     25,                 1.4641,                 2.3055,                 1.2076,                0.05837,                0.90927,                0.09845,                0.06044,                 1.2699,                 8.3731,                 1.1883,              0.0011925,              0.0011925,              0.0011925
                     26,                 1.4417,                 2.3632,                  1.195,                0.08139,                0.71849,                 0.0982,                0.06164,                 1.2358,                 14.558,                  1.159,              0.0011719,              0.0011719,              0.0011719
                     27,                 1.3901,                 6.8035,                 1.1564,                0.08478,                0.87455,                0.10366,                0.06591,                 1.2355,                 11.946,                  1.163,              0.0011513,              0.0011513,              0.0011513
                     28,                 1.3538,                  4.343,                 1.1405,                0.09188,                0.74052,                0.10234,                0.06428,                 1.2399,                 18.276,                 1.1646,              0.0011306,              0.0011306,              0.0011306
                     29,                 1.3663,                 2.0792,                 1.1647,                 0.0953,                0.69284,                0.10334,                0.06698,                 1.1718,                  12.55,                 1.1221,                0.00111,                0.00111,                0.00111
                     30,                 1.3305,                  5.218,                 1.1369,                0.08466,                0.83853,                0.10248,                0.06677,                 1.2015,                 12.082,                 1.1427,              0.0010894,              0.0010894,              0.0010894
                     31,                 1.3766,                 2.7021,                  1.175,                0.09475,                0.58963,                0.10185,                0.06326,                 1.2341,                 14.203,                 1.1651,              0.0010688,              0.0010688,              0.0010688
                     32,                 1.3583,                 4.2909,                 1.1847,                0.09851,                0.57317,                0.10231,                0.06465,                 1.2073,                  14.69,                 1.1459,              0.0010481,              0.0010481,              0.0010481
                     33,                 1.3171,                 2.0896,                  1.113,                0.08824,                0.83834,                 0.1022,                0.06814,                 1.1406,                 12.351,                 1.1069,              0.0010275,              0.0010275,              0.0010275
                     34,                 1.3253,                 2.1389,                 1.1243,                0.08892,                0.84445,                0.10551,                0.06887,                 1.1429,                 14.717,                 1.1107,              0.0010069,              0.0010069,              0.0010069
                     35,                  1.282,                 2.1144,                  1.122,                   0.09,                0.86277,                0.10501,                0.07132,                 1.1047,                 14.501,                 1.0891,             0.00098624,             0.00098624,             0.00098624
                     36,                 1.2926,                 2.1504,                 1.1259,                0.09544,                0.73749,                0.10825,                0.07006,                 1.1575,                 8.6061,                 1.1157,             0.00096561,             0.00096561,             0.00096561
                     37,                 1.2765,                 2.0622,                 1.1131,                0.07054,                0.88321,                0.08962,                0.06136,                 1.0908,                 12.277,                 1.0825,             0.00094498,             0.00094498,             0.00094498
                     38,                 1.2521,                 4.8242,                 1.1141,                0.08553,                 0.9058,                0.09995,                 0.0675,                 1.0822,                 11.256,                 1.0743,             0.00092435,             0.00092435,             0.00092435
                     39,                 1.2693,                 4.2713,                 1.1188,                0.09021,                0.85797,                0.10684,                0.07252,                 1.0604,                 13.066,                 1.0635,             0.00090372,             0.00090372,             0.00090372
                     40,                 1.2452,                  2.289,                 1.1063,                0.09054,                0.90076,                0.10312,                0.06816,                 1.1541,                 12.319,                 1.1096,             0.00088309,             0.00088309,             0.00088309
                     41,                  1.238,                 4.7903,                 1.1002,                0.09457,                0.81982,                0.10777,                0.07499,                 1.0579,                 13.107,                 1.0581,             0.00086246,             0.00086246,             0.00086246
                     42,                 1.2082,                 1.9599,                 1.0796,                0.08861,                0.91793,                 0.1064,                0.07457,                 1.0438,                 14.582,                 1.0509,             0.00084184,             0.00084184,             0.00084184
                     43,                 1.2145,                 2.3132,                 1.0806,                0.09106,                0.88481,                 0.1072,                 0.0742,                 1.0386,                 12.171,                 1.0423,             0.00082121,             0.00082121,             0.00082121
